Date,High,Low,Open,Close
11/3/2016,18.2,16.31,18.2,18.2
11/4/2016,18.2,16.31,18.2,18.2
11/5/2016,18.2,16.31,18.2,18.2
11/6/2016,18.2,16.31,18.2,18.2
11/7/2016,18.2,16.31,18.2,18.2
11/8/2016,18.2,16.31,18.2,18.2
11/9/2016,18.24,16.31,18.2,18.24
11/10/2016,18.5,16.31,18.24,18.5
11/11/2016,18.5,16.31,18.5,18.5
11/12/2016,18.5,16.31,18.5,18.5
11/13/2016,18.5,16.31,18.5,18.5
11/14/2016,18.5,16.31,18.5,18.5
11/15/2016,18.57,16.31,18.5,18.57
11/16/2016,18.6,16.31,18.57,18.6
11/17/2016,18.6,16.31,18.6,18.6
11/18/2016,18.6,16.31,18.6,18.6
11/19/2016,18.6,16.31,18.6,18.6
11/20/2016,18.6,16.31,18.6,18.6
11/21/2016,18.6,16.31,18.6,18.6
11/22/2016,18.6,16.31,18.6,18.6
11/23/2016,18.6,16.31,18.6,18.6
11/24/2016,18.6,16.31,18.6,18.6
11/25/2016,18.6,16.31,18.6,18.6
11/26/2016,18.6,16.31,18.6,18.6
11/27/2016,18.6,16.31,18.6,18.6
11/28/2016,18.6,16.31,18.6,18.6
11/29/2016,18.6,16.31,18.6,18.6
11/30/2016,18.6,16.31,18.6,18.6
12/1/2016,18.6,16.31,18.6,18.6
12/2/2016,18.6,16.31,18.6,18.6
12/3/2016,18.6,16.31,18.6,18.6
12/4/2016,18.6,16.31,18.6,18.6
12/5/2016,18.6,16.31,18.6,18.6
12/6/2016,18.6,16.31,18.6,18.6
12/7/2016,18.6,16.31,18.6,18.6
12/8/2016,18.6,16.31,18.6,18.6
12/9/2016,18.6,16.31,18.6,18.6
12/10/2016,18.6,16.31,18.6,18.6
12/11/2016,18.6,16.31,18.6,18.6
12/12/2016,18.6,16.31,18.6,18.6
12/13/2016,18.6,16.31,18.6,18.6
12/14/2016,18.6,16.31,18.6,18.6
12/15/2016,18.6,16.31,18.6,18.6
12/16/2016,18.6,16.31,18.6,18.6
12/17/2016,18.6,16.31,18.6,18.6
12/18/2016,18.6,16.31,18.6,18.6
12/19/2016,18.6,16.31,18.6,18.6
12/20/2016,18.6,16.31,18.6,18.6
12/21/2016,18.6,16.31,18.6,18.6
12/22/2016,18.6,16.31,18.6,18.6
12/23/2016,18.6,16.31,18.6,18.6
12/24/2016,18.6,16.31,18.6,18.6
12/25/2016,18.6,16.31,18.6,18.6
12/26/2016,18.6,16.31,18.6,18.6
12/27/2016,18.6,16.31,18.6,18.6
12/28/2016,18.6,16.31,18.6,18.5
12/29/2016,18.6,16.31,18.5,18.5
12/30/2016,18.6,16.31,18.5,18.5
12/31/2016,18.6,16.31,18.5,18.5
1/1/2017,18.6,16.31,18.5,18.5
1/2/2017,18.6,16.31,18.5,18.5
1/3/2017,18.6,16.31,18.5,18.5
1/4/2017,18.6,16.31,18.5,18.5
1/5/2017,18.6,16.31,18.5,18.5
1/6/2017,18.6,16.31,18.5,18.5
1/7/2017,18.6,16.31,18.5,18.5
1/8/2017,18.6,16.31,18.5,18.5
1/9/2017,18.6,16.31,18.5,18.5
1/10/2017,18.6,16.31,18.5,18.5
1/11/2017,18.6,16.31,18.5,18.5
1/12/2017,18.6,16.31,18.5,18.5
1/13/2017,18.6,16.31,18.5,18.5
1/14/2017,18.6,16.31,18.5,18.5
1/15/2017,18.6,16.31,18.5,18.5
1/16/2017,18.6,16.31,18.5,18.5
1/17/2017,18.6,16.31,18.5,18.5
1/18/2017,18.6,16.31,18.5,18.5
1/19/2017,18.6,16.31,18.5,18.5
1/20/2017,18.6,16.31,18.5,18.5
1/21/2017,18.6,16.31,18.5,18.5
1/22/2017,18.6,16.31,18.5,18.6
1/23/2017,18.6,16.31,18.6,18.6
1/24/2017,18.6,16.31,18.6,18.6
1/25/2017,18.6,16.31,18.6,18.5
1/26/2017,18.6,16.31,18.5,18.5
1/27/2017,18.6,16.31,18.5,18.5
1/28/2017,18.6,16.31,18.5,18.5
1/29/2017,18.6,16.31,18.5,18.5
1/30/2017,18.6,16.31,18.5,18.5
1/31/2017,18.6,16.31,18.5,18.5
2/1/2017,20.35,16.31,18.5,20.35
2/2/2017,20.35,16.31,20.35,20.35
2/3/2017,20.35,16.31,20.35,20.35
2/4/2017,20.35,16.31,20.35,20.35
2/5/2017,20.35,16.31,20.35,20.35
2/6/2017,20.35,16.31,20.35,20.35
2/7/2017,20.35,16.31,20.35,20.35
2/8/2017,20.35,16.31,20.35,20.35
2/9/2017,20.35,16.31,20.35,20.35
2/10/2017,20.35,16.31,20.35,20.35
2/11/2017,20.35,16.31,20.35,20.35
2/12/2017,20.35,16.31,20.35,20.35
2/13/2017,20.35,16.31,20.35,20.35
2/14/2017,20.35,16.31,20.35,20.35
2/15/2017,20.35,16.31,20.35,20.35
2/16/2017,20.35,16.31,20.35,20.35
2/17/2017,20.35,16.31,20.35,20.35
